,home_team,away_team,lm_away,lm_draw,lm_home,knn_away,knn_draw,knn_home,rf_away,rf_draw,rf_home,gb_away,gb_draw,gb_home,lgbm_away,lgbm_draw,lgbm_home,xgb_away,xgb_draw,xgb_home,cb_away,cb_draw,cb_home,sc_away,sc_draw,sc_home,nn_away,nn_draw,nn_home,mean_away,mean_draw,mean_home
10,Iran,Wales,0.34166442786663376,0.34392951157662505,0.3144060605567412,0.2,0.3,0.5,0.37380070629223894,0.27683664347999876,0.3493626502277632,0.40720718719513643,0.24086553601358285,0.35192727679128083,0.40299436355501295,0.2266086471235227,0.3703969893214644,0.2799348,0.3278218,0.39224342,0.264832038925455,0.09837680038972682,0.6367911606848183,0.23909336,0.35797766,0.402929,0.6694001,0.0021635087,0.32843637,0.3532141085299874,0.2416200107710913,0.4051658817078543
11,USA,Wales,0.23933098854183518,0.33328288101854253,0.4273861304396223,0.4,0.3,0.3,0.22215889608292155,0.2695639939575838,0.5082771099594949,0.17769938837539276,0.2510798346001591,0.5712207770244482,0.1944234967692786,0.18820744557148086,0.6173690576592405,0.14114738,0.27000746,0.5888452,0.19899271493098716,0.09367152262983507,0.7073357624391777,0.13128412,0.4763502,0.3923657,0.118535236,0.0002945534,0.8811702,0.20261913478111931,0.24249532008326075,0.5548855486862873
12,Argentina,Saudi Arabia,0.02637932946017321,0.12538078285870802,0.8482398876811188,0.0,0.2,0.8,0.05965932774071525,0.13286856253238524,0.8074721097269009,0.05053619769705733,0.14856655616009712,0.8008972461428455,0.03160974569535626,0.1039918501388179,0.8643984041658258,0.02181537,0.18221347,0.79597116,0.01584425171882779,0.013826840967591616,0.9703289073135807,0.017787557,0.030941313,0.9512712,1.0741813e-05,1.860992e-07,0.99998903,0.024849169109828633,0.10419884024769098,0.8709519910311617
13,Argentina,Mexico,0.11701439393584537,0.22235683724082755,0.6606287688233271,0.1,0.2,0.7,0.09778210875917566,0.1625693743128993,0.7396485169279253,0.11086322076632994,0.15365294437589933,0.7354838348577707,0.05969697712053941,0.12488820907308243,0.8154148138063783,0.053877424,0.11634664,0.8297759,0.0158013189013908,0.061014661272803736,0.9231840198258056,0.0394001,0.1755492,0.78505075,0.0034700837,7.689457e-06,0.9965223,0.06643395870429421,0.13515395025820942,0.7984121045407643
14,Argentina,Poland,0.11210451352008785,0.23788143960155342,0.6500140468783587,0.4,0.2,0.4,0.08741233211396218,0.21667731095362364,0.6959103569324144,0.1405205100412891,0.17764392265792917,0.6818355673007817,0.07602846667660304,0.2111476689456567,0.7128238643777403,0.07156929,0.13807334,0.79035735,0.017351828463669335,0.06297328993314959,0.9196748816031811,0.046848096,0.17867623,0.7744757,0.0031450042,7.6033725e-06,0.99684733,0.10610889302365376,0.15812008980203804,0.7357710104024633
15,Saudi Arabia,Mexico,0.53916581003828,0.2727165187214337,0.18811767124028622,0.4,0.3,0.3,0.504174519873616,0.25198431198868143,0.24384116813770265,0.49565696835413364,0.25253593774210825,0.25180709390375805,0.43487969099644613,0.25149800767228814,0.31362230133126573,0.48091346,0.21514413,0.3039424,0.5411440345618237,0.06892683598846404,0.3899291294497122,0.3109238,0.46683803,0.22223812,0.9842406,0.00028076424,0.015478593,0.5212332100420622,0.2311027262191668,0.24766405476832373
16,Saudi Arabia,Poland,0.5199771463585453,0.2936970709031327,0.18632578273832193,0.6,0.2,0.2,0.4624056921146225,0.2695860880388397,0.2680082198465376,0.5093132766337665,0.2552696240816263,0.2354170992846073,0.3706738736279838,0.39708775868983714,0.23223836768217898,0.41767052,0.32513738,0.2571921,0.6926990507738662,0.13950584387761047,0.1677951053485234,0.49480996,0.1759263,0.32926372,0.98263794,0.0003058178,0.017056247,0.5611319394293852,0.2285017642323484,0.21036629379006438
17,Mexico,Poland,0.21088749291770664,0.31606261033052335,0.47304989675177006,0.1,0.5,0.4,0.21785760307873375,0.3249693194585214,0.4571730774627453,0.20813258608200372,0.2964378171870306,0.49542959673096576,0.24681047034442385,0.3648336882122456,0.3883558414433306,0.21985248,0.36727446,0.41287306,0.12636622883085477,0.25827009774040355,0.6153636734287418,0.36798644,0.3664857,0.26552787,0.11899752,0.0001765181,0.880826,0.20187675788031723,0.31050113325652856,0.4876221128843336
18,France,Australia,0.06543898403202304,0.20596506228430506,0.7285959536836719,0.1,0.0,0.9,0.09771626343497679,0.08813739162083488,0.814146344944189,0.06418819458680772,0.08708599103053835,0.8487258143826539,0.03776605033225794,0.08136594639033289,0.8808680032774092,0.027632177,0.038942188,0.9334256,0.05864477580715849,0.045106498994152304,0.8962487251986891,0.02215013,0.31083837,0.6670115,4.854882e-05,2.7408223e-07,0.9999511,0.05262056921877951,0.09527130266024264,0.8521081189310993
19,France,Denmark,0.16947787685341287,0.2659516358158912,0.5645704873306959,0.1,0.2,0.7,0.08277321965689603,0.16244344752169504,0.7547833328214096,0.08240936238480641,0.12831798206138958,0.789272655553804,0.04914448829161841,0.13795873208766396,0.8128967796207177,0.061145585,0.065740205,0.8731142,0.021942323530572395,0.09192493815162171,0.8861327383178058,0.079834364,0.13246574,0.7876999,0.0069224015,1.2990269e-05,0.9930646,0.07262773573222901,0.1316461851480919,0.795726075828521
