,home_team,away_team,lm_away,lm_home,knn_away,knn_home,rf_away,rf_home,gb_away,gb_home,lgbm_away,lgbm_home,xgb_away,xgb_home,cb_away,cb_home,sc_away,sc_home,nn_away,nn_home,mean_away,mean_home
19,France,Denmark,0.4430062403948247,0.5569937596051754,0.3333333333333333,0.6666666666666666,0.29048572144874707,0.7095142785512538,0.19656059604983311,0.8034394039501669,0.2242909720864802,0.7757090279135198,0.3104114,0.6895886,0.16956369131151747,0.8304363086884825,0.35970712,0.6402929,0.30823016,0.69176984,0.29284324744608,0.7071567525539202
20,France,Tunisia,0.13116530502003854,0.8688346949799614,0.3333333333333333,0.6666666666666666,0.22391103638524912,0.776088963614751,0.0967536636224916,0.9032463363775084,0.13283478883628674,0.8671652111637133,0.1273818,0.8726182,0.1739658278760418,0.8260341721239581,0.03464544,0.96535456,0.00917552,0.99082446,0.1403518572514681,0.8596481406789263
21,Australia,Denmark,0.6985784244475237,0.30142157555247634,1.0,0.0,0.7424522246672551,0.2575477753327447,0.746464447296415,0.25353555270358497,0.6807233071004513,0.3192766928995487,0.7478919,0.25210807,0.6965963301918082,0.30340366980819183,0.733716,0.26628402,0.9658161,0.03418397,0.7791376364716247,0.22086236932327138
22,Australia,Tunisia,0.30551180916183335,0.6944881908381667,0.1111111111111111,0.8888888888888888,0.5101996478540378,0.4898003521459621,0.39857709609341974,0.6014229039065803,0.4445873288004635,0.5554126711995365,0.49391848,0.5060815,0.497771354942077,0.502228645057923,0.51911366,0.48088634,0.36996242,0.6300376,0.40563921226115657,0.5943607910502126
23,Denmark,Tunisia,0.21265509889080927,0.7873449011091906,0.2222222222222222,0.7777777777777778,0.3316391534728897,0.6683608465271105,0.34821978641120266,0.6517802135887973,0.2935416706687678,0.7064583293312322,0.2937466,0.7062534,0.4524847107426244,0.5475152892573756,0.22732979,0.7726702,0.06054532,0.9394547,0.2713760383521082,0.7286239612339708
24,Spain,Costa Rica,0.2146777314578918,0.7853222685421082,0.3333333333333333,0.6666666666666666,0.2647468101336728,0.7352531898663275,0.14306268286888324,0.8569373171311168,0.19647688682609188,0.8035231131739081,0.095945954,0.90405405,0.30749072070950556,0.6925092792904943,0.3308066,0.6691934,0.017929314,0.9820707,0.21160778292500104,0.7883922168680384
25,Spain,Germany,0.573739157876919,0.42626084212308113,0.3333333333333333,0.6666666666666666,0.5713360648653911,0.4286639351346089,0.6911810593274208,0.3088189406725792,0.6180060625853134,0.3819939374146866,0.59651667,0.40348333,0.6920358598215495,0.3079641401784506,0.61683524,0.38316473,0.7162105,0.28378958,0.6010215475178382,0.39897845579353103
26,Spain,Japan,0.30839844078896406,0.691601559211036,0.4444444444444444,0.5555555555555556,0.2656489507294424,0.7343510492705579,0.1956888660138404,0.8043111339861596,0.24184805809601062,0.7581519419039894,0.22392964,0.77607036,0.19868429840437693,0.801315701595623,0.15385944,0.84614056,0.11039365,0.88960636,0.23809953216109397,0.7619004686667483
27,Costa Rica,Germany,0.8451497474121312,0.15485025258786878,0.8888888888888888,0.1111111111111111,0.8358749957272225,0.16412500427277807,0.86532736102734,0.13467263897266,0.8655273888482421,0.13447261115175788,0.8988765,0.101123534,0.9620307034534235,0.037969296546576485,0.910903,0.08909699,0.99583936,0.0041606296,0.8964908786590959,0.1035091190643378
28,Costa Rica,Japan,0.6438960156442202,0.35610398435577983,0.4444444444444444,0.5555555555555556,0.608194409888069,0.3918055901119315,0.5778083214511405,0.42219167854885953,0.7023402624641171,0.297659737535883,0.7644802,0.23551984,0.6051936982445524,0.39480630175544756,0.7345371,0.2654629,0.92168427,0.078315705,0.6669531906105389,0.3330468110451457
