iter	Passed	Remaining
642	27238	15123
643	27271	15075
644	27306	15029
645	27338	14981
646	27372	14934
647	27405	14886
648	27436	14838
649	27471	14792
650	27504	14745
651	27537	14697
652	27570	14650
653	27606	14605
654	27640	14558
655	27671	14510
656	27703	14463
657	27738	14417
658	27774	14371
659	27807	14324
660	27839	14277
661	27873	14231
662	27904	14183
663	27939	14137
664	27973	14091
665	28005	14044
666	28038	13998
667	28072	13952
668	28103	13904
669	28137	13858
670	28170	13812
671	28209	13768
672	28245	13723
673	28286	13681
674	28319	13635
675	28354	13589
676	28385	13542
677	28420	13497
678	28453	13451
679	28487	13406
680	28521	13360
681	28555	13314
682	28588	13268
683	28619	13221
684	28653	13176
685	28685	13130
686	28719	13084
687	28753	13039
688	28789	12995
689	28821	12948
690	28855	12903
691	28887	12857
692	28919	12811
693	28953	12766
694	28985	12720
695	29020	12675
696	29054	12630
697	29087	12585
698	29120	12539
699	29153	12494
700	29187	12449
701	29220	12403
702	29254	12359
703	29286	12313
704	29320	12268
705	29352	12223
706	29385	12178
707	29418	12132
708	29453	12088
709	29485	12043
710	29517	11997
711	29551	11953
712	29584	11908
713	29618	11863
714	29652	11819
715	29684	11774
716	29717	11729
717	29754	11686
718	29789	11642
719	29821	11597
720	29852	11551
721	29885	11507
722	29919	11462
723	29952	11418
724	29987	11374
725	30018	11329
726	30055	11286
727	30087	11241
728	30120	11197
729	30152	11152
730	30186	11108
731	30221	11064
732	30255	11020
733	30288	10976
734	30321	10932
735	30354	10887
736	30386	10843
737	30419	10799
738	30452	10755
739	30486	10711
740	30521	10667
741	30554	10624
742	30588	10580
743	30622	10536
744	30654	10492
745	30689	10449
746	30725	10406
747	30759	10362
748	30795	10319
749	30828	10276
750	30862	10232
751	30896	10189
752	30930	10145
753	30964	10102
754	30997	10058
755	31030	10014
756	31062	9971
757	31095	9927
758	31130	9884
759	31164	9841
760	31198	9798
761	31231	9754
762	31263	9711
763	31295	9667
764	31329	9623
765	31364	9581
766	31397	9538
767	31431	9495
768	31464	9451
769	31497	9408
770	31529	9364
771	31565	9322
772	31599	9279
773	31631	9236
774	31668	9193
775	31701	9150
776	31734	9107
777	31767	9064
778	31802	9022
779	31836	8979
780	31872	8937
781	31905	8894
782	31938	8851
783	31972	8808
784	32006	8766
785	32039	8723
786	32073	8680
787	32108	8638
788	32140	8595
789	32173	8552
790	32206	8509
791	32239	8466
792	32274	8424
793	32305	8381
794	32340	8339
795	32376	8297
796	32409	8254
797	32442	8212
798	32475	8169
799	32508	8127
800	32541	8084
801	32573	8041
802	32607	7999
803	32640	7957
804	32674	7915
805	32707	7872
806	32741	7830
807	32775	7788
808	32809	7746
809	32842	7703
810	32876	7661
811	32911	7619
812	32945	7577
813	32978	7535
814	33013	7493
815	33045	7451
816	33078	7409
817	33111	7367
818	33145	7325
819	33178	7283
820	33212	7241
821	33244	7199
822	33278	7157
823	33310	7114
824	33344	7073
825	33378	7031
826	33412	6989
827	33445	6947
828	33480	6906
829	33513	6864
830	33546	6822
831	33578	6780
832	33613	6738
833	33646	6696
834	33679	6655
835	33712	6613
836	33749	6572
837	33781	6530
838	33813	6488
839	33848	6447
840	33883	6406
841	33916	6364
842	33949	6322
843	33982	6281
844	34015	6239
845	34048	6197
